task_label,comparison,comparison_label,metric,metric_label,model_a,model_b,model_a_value,model_b_value,benefit_point,benefit_ci_low,benefit_ci_high,fraction_bootstrap_model_a_better,n_paired_patients,n_paired_examples,n_paired_positive,conclusion
Readmission,Full4096,"Full compression vs raw, context 4096",auroc,AUROC,condition_era_90_backfill_4096,raw_4096,0.7984866610838618,0.7941520118036449,0.0043346492802168,-0.0045341260641945,0.0134915072914854,0.8327,1190,2189,260,difference_not_established
Readmission,Full4096,"Full compression vs raw, context 4096",auprc,AUPRC,condition_era_90_backfill_4096,raw_4096,0.4205720245274604,0.4097272282622244,0.0108447962652359,-0.0120123518944244,0.0267538513093503,0.8086,1190,2189,260,difference_not_established
Readmission,Full4096,"Full compression vs raw, context 4096",brier,Brier score,condition_era_90_backfill_4096,raw_4096,0.0860192398416272,0.0869021117464006,0.0008828719047733,-0.0003621741213252,0.0021688071754118,0.9174,1190,2189,260,difference_not_established
Readmission,Full4096,"Full compression vs raw, context 4096",logloss,LogLoss,condition_era_90_backfill_4096,raw_4096,0.2969254372192538,0.2995568821034199,0.0026314448841661,-0.0007729696815594,0.0061377835436954,0.9374,1190,2189,260,difference_not_established
Readmission,Full4096,"Full compression vs raw, context 4096",top_10pct_precision,Top-10% precision,condition_era_90_backfill_4096,raw_4096,0.4657534246575342,0.4520547945205479,0.0136986301369863,-0.0131018731326132,0.0630641563893991,0.8908,1190,2189,260,difference_not_established
Readmission,RepresentationOnly4096,"No-backfill vs raw, context 4096",auroc,AUROC,condition_era_90_no_backfill_4096,raw_4096,0.8007377277983809,0.7941520118036449,0.006585715994736,-0.0016171518465812,0.0156724310877873,0.943,1190,2189,260,difference_not_established
Readmission,RepresentationOnly4096,"No-backfill vs raw, context 4096",auprc,AUPRC,condition_era_90_no_backfill_4096,raw_4096,0.4051512487978356,0.4097272282622244,-0.0045759794643887,-0.0292438768249851,0.0150965461982506,0.2984,1190,2189,260,difference_not_established
Readmission,RepresentationOnly4096,"No-backfill vs raw, context 4096",brier,Brier score,condition_era_90_no_backfill_4096,raw_4096,0.087103563222708,0.0869021117464006,-0.0002014514763074,-0.0014216010435109,0.0009805336746912,0.3794,1190,2189,260,difference_not_established
Readmission,RepresentationOnly4096,"No-backfill vs raw, context 4096",logloss,LogLoss,condition_era_90_no_backfill_4096,raw_4096,0.2991468812724933,0.2995568821034199,0.0004100008309265,-0.0031103337414688,0.0039788880251017,0.5949,1190,2189,260,difference_not_established
Readmission,RepresentationOnly4096,"No-backfill vs raw, context 4096",top_10pct_precision,Top-10% precision,condition_era_90_no_backfill_4096,raw_4096,0.4703196347031963,0.4520547945205479,0.0182648401826484,-0.0138888888888888,0.0553250591016547,0.8528,1190,2189,260,difference_not_established
Readmission,Backfill4096,"Backfill vs no-backfill, context 4096",auroc,AUROC,condition_era_90_backfill_4096,condition_era_90_no_backfill_4096,0.7984866610838618,0.8007377277983809,-0.0022510667145191,-0.0107297840869969,0.0058166709586619,0.2902,1190,2189,260,difference_not_established
Readmission,Backfill4096,"Backfill vs no-backfill, context 4096",auprc,AUPRC,condition_era_90_backfill_4096,condition_era_90_no_backfill_4096,0.4205720245274604,0.4051512487978356,0.0154207757296247,-0.0061713541784562,0.0377155352841842,0.912,1190,2189,260,difference_not_established
