stage,task_id,task_id_env,storage_relative_path
whitelist,f91b390fc6f54a53b2d6adccad118c5f,CLEARML_TASK_WHITELIST,state_or_space_whitelist
sequence_dataset_builder,4346d26dfc0f4f73ae74805d8f617b32,CLEARML_TASK_DATASET_BUILDER,ehrshot_state_or_space_sequence_datasets
training_core_4096,19a97a9defcf47268668f1843ea6c89c,CLEARML_TASK_CORE_4096,ehrshot_state_or_space_final_sequence_results/core_4096
training_context_16384,12e598838c034990bb4b2c3c444a7c7b,CLEARML_TASK_CONTEXT_16384,ehrshot_state_or_space_final_sequence_results/context_16384
training_icu_gap,669c120e48af4816bc41494a59dadb69,CLEARML_TASK_ICU_GAPS,ehrshot_state_or_space_final_sequence_results/icu_gap_extra_30_180
training_seeds_45_46,c109de8189d6417185c05728a024fc11,CLEARML_TASK_SEEDS_45_46,ehrshot_state_or_space_final_sequence_results/additional_seeds_45_46_all
main_analysis,36ae7ac72a1944d992434b52721d13ba,CLEARML_TASK_MAIN_ANALYSIS,ehrshot_state_or_space_final_analysis_5seeds_wide
copy_forward_inference,f10f9c25f87e4916b4d0f76eb55bbf29,CLEARML_TASK_COPY_FORWARD_INFERENCE,state_or_space_copy_forward/inference
copy_forward_analysis,7ce11c57d1c94970813e9427fb5b4261,CLEARML_TASK_COPY_FORWARD_ANALYSIS,state_or_space_copy_forward/analysis
reproducibility_package,,CLEARML_TASK_REPRO_PACKAGE,state_or_space_reproducibility_package
